Feature_ID,CAS,Mean_RT
000099-87-6_group3,000099-87-6,11.0699
000099-87-6_group4,000099-87-6,11.56615
000099-87-6_group5,000099-87-6,11.8496
000099-87-6_group6,000099-87-6,12.1135
000099-87-6_group7,000099-87-6,13.18955
000099-87-6_group8,000099-87-6,14.3012
000099-87-6_group9,000099-87-6,23.2724
000099-89-8_group1,000099-89-8,19.6427
000099-89-8_group2,000099-89-8,22.28836
000099-93-4_group1,000099-93-4,11.7556
000099-93-4_group2,000099-93-4,22.2579
000100-12-9_group1,000100-12-9,13.1474
000100-18-5_group1,000100-18-5,17.6911
000100-41-4_group1,000100-41-4,5.712315384615384
000100-41-4_group2,000100-41-4,7.3798
000100-41-4_group3,000100-41-4,7.862946341463414
000100-41-4_group4,000100-41-4,10.204455172413793
000100-42-5_group1,000100-42-5,9.3270875
000100-42-5_group2,000100-42-5,11.7264
000100-42-5_group3,000100-42-5,11.981929411764707
000100-45-8_group1,000100-45-8,10.52615
000100-45-8_group2,000100-45-8,12.470616279069766
000100-45-8_group3,000100-45-8,15.5851
000100-45-8_group4,000100-45-8,15.886586666666666
000100-47-0_group1,000100-47-0,9.460775
000100-47-0_group2,000100-47-0,12.862281818181817
000100-47-0_group3,000100-47-0,15.8613
000100-47-0_group4,000100-47-0,16.34215
000100-49-2_group1,000100-49-2,12.0913
000100-51-6_group1,000100-51-6,11.492227272727273
000100-51-6_group2,000100-51-6,15.05102408759124
000100-51-6_group3,000100-51-6,19.092833333333335
000100-51-6_group4,000100-51-6,19.464652173913045
000100-52-7_group1,000100-52-7,8.943816666666667
000100-52-7_group2,000100-52-7,11.966685889570552
000100-52-7_group3,000100-52-7,15.049633333333333
000100-52-7_group4,000100-52-7,15.33764090909091
000100-55-0_group1,000100-55-0,16.2103
000100-66-3_group1,000100-66-3,10.1598
000100-80-1_group1,000100-80-1,10.345426923076925
000100-97-0_group1,000100-97-0,16.087975
000101-39-3_group1,000101-39-3,13.772
000101-53-1_group1,000101-53-1,26.772399999999998
000101-53-1_group2,000101-53-1,33.475674999999995
000101-81-5_group1,000101-81-5,17.04215
000101-81-5_group2,000101-81-5,18.067050000000002
000101-81-5_group3,000101-81-5,18.312649999999998
000101-82-6_group1,000101-82-6,28.9453
000101-84-8_group1,000101-84-8,16.571627272727273
000101-84-8_group2,000101-84-8,16.92395
000101-85-9_group1,000101-85-9,22.8088
000101-86-0_group1,000101-86-0,22.842757142857145
000101-86-0_group2,000101-86-0,29.9287
000101-86-0_group3,000101-86-0,30.4692
000102-25-0_group1,000102-25-0,17.7099
000102-51-2_group1,000102-51-2,16.0601
000102-62-5_group1,000102-62-5,13.364604545454545
000102-62-5_group2,000102-62-5,16.890675
000102-62-5_group3,000102-62-5,19.600233333333332
000102-62-5_group4,000102-62-5,20.0523
000102-76-1_group1,000102-76-1,16.895918181818182
000103-08-2_group1,000103-08-2,7.6919
000103-09-3_group1,000103-09-3,10.52632258064516
000103-09-3_group2,000103-09-3,17.8742
